"","ind1","ind2","ind3","ind4","ind5","ind6","ind7","ind8","ind9","ind10","ind11","ind12","ind13","ind14","ind15","ind16","ind17","ind18","ind19","ind20","ind21","ind22","ind23","ind24","ind25"
"167",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"168",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"169",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"170",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"171",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"172",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"173",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"174",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"175",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"176",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"177",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"178",1,NA,2,3,4,5,6,7,8,4,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"179",1,NA,2,3,4,5,6,7,8,1,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"180",1,NA,2,3,4,5,6,7,8,8,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"181",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"182",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"183",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"184",1,NA,2,3,4,5,6,7,8,1,3,3,1,1,1,1,1,5,3,1,1,1,1,1,1
"185",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"186",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"187",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"188",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"189",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"190",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"191",1,NA,2,3,4,5,6,7,8,3,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"192",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"193",1,NA,2,3,4,5,6,7,8,8,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"194",1,NA,2,3,4,5,6,7,8,2,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"195",1,NA,2,3,4,5,6,7,8,7,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"196",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"197",1,NA,2,3,4,5,6,7,8,1,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"198",1,NA,2,3,4,5,6,7,8,6,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"199",1,NA,2,3,4,5,6,7,8,8,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"200",1,NA,2,3,4,5,6,7,8,4,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
"201",1,NA,2,3,4,5,6,7,8,5,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1
